Model,City,Year,BodyType,milage range,Stroke,Mileage,Price,price in word
Honda CG 125,Karachi,2013,Standard,between 40001 to 60000,4 Stroke,100000,93000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,7000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,3600,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,2013,Standard,between 40001 to 60000,4 Stroke,123456,85000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,3709,205000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,11000,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Lahore,2021,Standard,between 1 to 20000,4 Stroke,9900,155000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Lahore,2009,Standard,between 1 to 20000,4 Stroke,15000,60000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,5500,190000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2015,Standard,between 40001 to 60000,4 Stroke,101010,84500,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2016,Standard,between 40001 to 60000,4 Stroke,63000,120000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,8000,182000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Lahore,1985,Standard,between 80000 to 1000000,4 Stroke,999999,60000,From Thirty Thousand To Sixty Thousand
Honda CD 70,Rawalpindi,2019,Standard,between 200001 to 40000,4 Stroke,35000,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Karachi,2023,Standard,between 1 to 20000,4 Stroke,20,160000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,6072,210000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2021,Standard,between 1 to 20000,4 Stroke,18500,143000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,8000,215000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,13510,185000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Rawalpindi,2021,Standard,between 1 to 20000,4 Stroke,10000,122000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2022,Standard,between 1 to 20000,4 Stroke,10000,198000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,7000,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CD 70,Karachi,1983,Standard,between 1 to 20000,4 Stroke,10000,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,10,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CD 70,Lahore,2009,Standard,between 40001 to 60000,4 Stroke,45000,49000,From Thirty Thousand To Sixty Thousand
Honda CG 125,Lahore,2019,Standard,between 40001 to 60000,4 Stroke,66000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2021,Standard,between 200001 to 40000,4 Stroke,28000,149000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2017,Standard,between 200001 to 40000,4 Stroke,25000,115000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,7500,195000,From One Lac Eighty Thousand To  Two Lac Ten Thousand
Honda CG 125,Karachi,2019,Standard,between 40001 to 60000,4 Stroke,99999,150000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CD 70,Rawalpindi,2016,Standard,between 40001 to 60000,4 Stroke,100000,65000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Rawalpindi,2007,Standard,between 1 to 20000,4 Stroke,10000,65000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Karachi,1990,Standard,between 1 to 20000,4 Stroke,1000,220000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,1100,220000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CD 70,Lahore,2022,Standard,between 1 to 20000,4 Stroke,7847,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Rawalpindi,2023,Standard,between 1 to 20000,4 Stroke,500,230000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CD 70,Karachi,2020,Standard,between 200001 to 40000,4 Stroke,30550,130000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Karachi,2022,Standard,between 1 to 20000,4 Stroke,8900,180000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,3500,215000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CD 70,Lahore,2016,Standard,between 200001 to 40000,4 Stroke,38000,85000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2018,Standard,between 1 to 20000,4 Stroke,19000,140000,From One Lac Twenty Thousand To  One Lac Fifty Thousand
Honda CG 125,Lahore,2023,Standard,between 1 to 20000,4 Stroke,35,380000,From Three Lac Fifty Thousand To  Three Lac Eighty Thousand
Honda CG 125,Karachi,2013,Standard,between 40001 to 60000,4 Stroke,121212,82000,From Sixty Thousand To Ninty Thousand
Honda CG 125,Lahore,2017,Standard,between 40001 to 60000,4 Stroke,90000,110000,From Ninty Thousand To  One Lac Twenty Thousand
Honda CG 125,Rawalpindi,2022,Standard,between 1 to 20000,4 Stroke,9000,168000,From One Lac Fifty Thousand To  One Lac Eighty Thousand
Honda CG 125,Karachi,2023,Standard,between 1 to 20000,4 Stroke,4000,220000,From Two Lac Ten Thousand To  Two Lac Fourty Thousand
Honda CG 125,Lahore,2017,Standard,between 1 to 20000,4 Stroke,12345,88000,From Sixty Thousand To Ninty Thousand
